,topic_0,topic_1,topic_2,topic_3
ANK1,6.5477507e-06,1.6819246e-05,1.1455524e-08,2.5513762e-06
TFB1M,2.7314214e-05,1.5786972e-08,2.2591622e-09,1.6695873e-05
RABEP1,0.0003134639,8.563992e-10,2.1222866e-09,2.7675931e-05
HMGB3,6.159008e-10,1.7992214e-05,5.0230115e-06,5.8111905e-06
NUP160,9.5645875e-05,7.700358e-05,4.3830903e-05,2.809295e-05
IKZF2,4.2811065e-05,3.8774444e-05,4.3568898e-10,1.8882563e-05
GRN,3.5312104e-11,6.83346e-11,5.3782326e-11,0.0005836765
FAM13B,0.00016856719,6.454662e-05,7.272955e-05,0.00011928139
ARHGAP31,1.1391453e-10,3.1739913e-10,0.000470799,1.4126553e-10
CENPQ,1.4315097e-05,2.5075691e-05,2.5925235e-06,7.419036e-06
SARS,0.00036807804,9.096656e-11,7.29455e-11,3.714339e-11
RANBP3,2.1490163e-05,1.716604e-08,1.5220449e-05,2.1865713e-05
ARID4A,0.0002876098,8.6735236e-10,1.8781914e-09,3.177558e-05
TSSC1,2.1847538e-05,3.417834e-05,2.3616105e-09,1.6143365e-05
PNPLA6,1.2946335e-05,6.730191e-06,1.6067093e-05,7.1955646e-06
IFT88,0.00025021096,8.7854113e-10,5.0263366e-10,2.8099523e-10
ZCCHC8,6.901996e-05,3.2207805e-05,2.3804916e-05,1.7562741e-05
LRRC7,6.7327375e-05,1.3600858e-09,1.9046273e-09,3.9181453e-10
FUT8,2.2409347e-10,0.0008989491,5.072333e-10,7.403879e-05
UBA6,2.215722e-05,0.00016873493,2.454811e-05,2.8856026e-05
GAB2,3.7096537e-10,2.2652731e-08,0.0002002902,6.72802e-05
